id,chassis_id,name,slug,sizes,dimension,mass,cargo_capacity,crew,speed,foci,production_status,production_note,type,description,size,manufacturer_suggested_retail_price,pledge_url,skus,loaner,link,updated_at,crew_min,crew_max,crew_range,can_carry_cargo,manufacturer_code,manufacturer_name
45,4,Constellation Andromeda,constellation-andromeda,"{'length': 61, 'beam': 26, 'height': 14}","{'length': 61, 'width': 26, 'height': 14}",430057.0,96.0,"{'min': 3, 'max': 4}",190.0,Medium Freight,flight-ready,Damage States being mapped,multi,"The Constellation Andromeda, a multi-person freighter, is the most popular ship in RSI's current production array. Constellations are beloved by smugglers and merchants alike because they are modular, high powered... and just downright iconic-looking.",large,240.0,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Andromeda,"[{'title': 'Standard Edition', 'price': 240, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 220, 'available': True, 'imported_at': '2024-09-18T00:00:32.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 240, 'available': True, 'imported_at': '2025-01-08T00:01:06.000000Z'}, {'title': 'Warbond Edition', 'price': 220, 'available': True, 'imported_at': '2025-12-01T00:00:58.000000Z'}]",P-52 Merlin,https://api.star-citizen.wiki/api/shipmatrix/vehicles/constellation-andromeda,2026-04-21 19:55:05+00:00,3.0,4,1.0,True,RSI,Roberts Space Industries
33,5,Freelancer MIS,freelancer-mis,"{'length': 38, 'beam': 23.5, 'height': 9.5}","{'length': 38, 'width': 23.5, 'height': 9.5}",236353.0,36.0,"{'min': 2, 'max': 4}",204.0,Gunship,flight-ready,None,combat,The Freelancer MIS is a limited edition militarized variant of the classic mercantile ship developed by the UEE. These were produced in very small quantity due to some early payload incidents. This version sacrifices the majority of the cargo capacity to make way for missiles. ,medium,175.0,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MIS,"[{'title': 'Warbond Edition', 'price': 165, 'available': True, 'imported_at': '2024-01-07T13:54:02.000000Z'}, {'title': 'Standard Edition', 'price': 175, 'available': True, 'imported_at': '2024-01-10T00:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 165, 'available': True, 'imported_at': '2024-11-25T00:00:52.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/freelancer-mis,2026-04-21 19:59:30+00:00,2.0,4,2.0,True,MISC,MISC
101,7,Avenger Warlock,avenger-warlock,"{'length': 22.5, 'beam': 16.5, 'height': 5.5}","{'length': 22.5, 'width': 16.5, 'height': 5.5}",50070.0,0.0,"{'min': 1, 'max': 1}",260.0,Interdiction,flight-ready,None,combat,"Outfitted with a Behring REP-8 EMP Generator, the Warlock makes non-lethal suppression possible via a powerful electromagnetic wave capable of disabling any electronics within the blast radius.

*This is the standard Avenger chassis with the Warlock EMP module pre-installed.*",small,85.0,https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock,"[{'title': 'Warbond Edition', 'price': 80, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 85, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/avenger-warlock,2026-04-21 20:03:38+00:00,1.0,1,0.0,False,AEGS,Aegis Dynamics
130,51,Eclipse,eclipse,"{'length': 20.5, 'beam': 36.6, 'height': 4.4}","{'length': 20.5, 'width': 36.6, 'height': 4.4}",54216.0,0.0,"{'min': 1, 'max': 1}",210.0,Stealth Bomber,flight-ready,None,combat,"The Aegis Eclipse is a bomber designed to get in and strike before it's even spotted. After extensive service with the UEE, this high-tech military stalwart is making its debut on the civilian market for 2947.",medium,300.0,https://robertsspaceindustries.com/pledge/ships/eclipse/Eclipse,"[{'title': 'Warbond Edition', 'price': 280, 'available': True, 'imported_at': '2024-01-07T13:54:04.000000Z'}, {'title': 'Standard Edition', 'price': 300, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}, {'title': 'Imperator Subscribers Edition', 'price': 300, 'available': True, 'imported_at': '2024-06-05T00:00:25.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2024-06-15T00:00:31.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2024-11-24T00:00:57.000000Z'}, {'title': 'Warbond Edition', 'price': 275, 'available': True, 'imported_at': '2025-07-12T00:00:46.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/eclipse,2026-04-21 20:03:31+00:00,1.0,1,0.0,False,AEGS,Aegis Dynamics
13,3,F7C-S Hornet Ghost Mk I,f7c-s-hornet-ghost-mk-i,"{'length': 22.5, 'beam': 21.5, 'height': 6.5}","{'length': 22.5, 'width': 21.5, 'height': 6.5}",73724.0,0.0,"{'min': 1, 'max': 1}",219.0,Stealth Fighter,flight-ready,None,combat,"Through a combination of low-emission drives, low-draw weapons, and Void Armor technology capable of diffusing scans, the F7C-S Ghost is built for the pilot who wants to keep a low profile. The Ghost is capable of slipping past the most ardent of observers to accomplish whatever goal you need to accomplish. Don't worry, we won't ask.",small,140.0,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-S-Hornet-Ghost-Mk-I,"[{'title': 'Standard Edition ', 'price': 125, 'available': True, 'imported_at': '2024-01-07T13:54:02.000000Z'}, {'title': 'Standard Edition ', 'price': 140, 'available': True, 'imported_at': '2024-03-15T00:00:30.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/f7c-s-hornet-ghost-mk-i,2025-12-03 22:42:42+00:00,1.0,1,0.0,False,ANVL,Anvil Aerospace
87,24,Hull E,hull-e,"{'length': 372, 'beam': 104, 'height': 104}","{'length': 372, 'width': 104, 'height': 104}",1652000.0,12288.0,"{'min': 4, 'max': 5}",,Heavy Freight,in-concept,Concept complete,transport,"The largest specialized freighter available on the market today, the Hull E is generally owned by major corporations and operated with a high degree of planning. The lack of maneuverability inherent in such a large ship means that anyone planning to operate them should be careful about equipping turrets and providing escort. Their potential load (and modularity) is unparalleled, however: no other ship allows as much room to store goods or to modify towards another role!",capital,750.0,https://robertsspaceindustries.com/pledge/ships/hull/Hull-E,"[{'title': 'Warbond Edition', 'price': 675, 'available': True, 'imported_at': '2026-04-09T00:00:31.000000Z'}, {'title': 'Standard Edition', 'price': 750, 'available': True, 'imported_at': '2026-04-09T00:00:31.000000Z'}]",Hull C,https://api.star-citizen.wiki/api/shipmatrix/vehicles/hull-e,2026-04-08 16:13:35+00:00,4.0,5,1.0,True,MISC,MISC
26,13,Scythe,scythe,"{'length': 31, 'beam': 23, 'height': 8.5}","{'length': 31, 'width': 23, 'height': 8.5}",72091.0,0.0,"{'min': 1, 'max': 1}",222.0,Medium Fighter,flight-ready,None,combat,"Fast becoming the symbol of the Vanduul Race, the Scythe is the foot soldier in every raid and the target of every human fighter pilot. Featuring a hefty weapons payload, the Scythe's real asset is its maneuverability, found in the twin main and twelve manuevering thrusters.",small,300.0,https://robertsspaceindustries.com/pledge/ships/scythe/Scythe,[],,https://api.star-citizen.wiki/api/shipmatrix/vehicles/scythe,2025-07-18 15:21:14+00:00,1.0,1,0.0,False,VNCL,Vanduul
67,16,Mustang Gamma,mustang-gamma,"{'length': 21.5, 'beam': 18, 'height': 9}","{'length': 21.5, 'width': 18, 'height': 9}",30263.0,0.0,"{'min': 1, 'max': 1}",225.0,Racing,flight-ready,None,competition,"Consolidated Outland’s design and engineering teams have managed to tweak and refine the Mustang into an admirable racer. The end result, the Mustang Gamma, has smooth acceleration, and power on demand thanks to an innovative package featuring three powerful Magma Jet engines for maximum thrust.",small,55.0,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Gamma,"[{'title': 'Standard Edition', 'price': 55, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/mustang-gamma,2025-12-03 21:53:03+00:00,1.0,1,0.0,False,CNOU,Consolidated Outland
35,19,Khartu-Al,khartu-al,"{'length': 30.5, 'beam': 13, 'height': 8}","{'length': 30.5, 'width': 13, 'height': 8}",72711.0,0.0,"{'min': 1, 'max': 1}",226.0,Light Fighter,flight-ready,None,combat,"The Xi'an Aopoa corporation manufactures an export model of the Qhire Khartu, the Khartu-al, for sale to Human civilians. The export model features the same Xi'an maneuvering rig, but control surfaces modified for Human use and a more limited armament.",small,175.0,https://robertsspaceindustries.com/pledge/ships/khartu/Khartu-Al,"[{'title': 'Warbond Edition', 'price': 160, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 170, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Warbond Edition', 'price': 160, 'available': True, 'imported_at': '2024-01-07T13:54:03.000000Z'}, {'title': 'Standard Edition', 'price': 175, 'available': True, 'imported_at': '2024-11-26T00:00:55.000000Z'}]",,https://api.star-citizen.wiki/api/shipmatrix/vehicles/khartu-al,2025-12-03 22:41:00+00:00,1.0,1,0.0,False,XNAA,Aopoa
86,24,Hull D,hull-d,"{'length': 209, 'beam': 70, 'height': 70}","{'length': 209, 'width': 70, 'height': 70}",1216000.0,6912.0,"{'min': 3, 'max': 5}",,Heavy Freight,in-concept,Concept complete,transport,"The Hull D kicks off the larger end of the spectrum with a massive ship built around a rugged frame. The Hull D is affordable enough to be operated by mid-sized organizations and companies. Hull D are often used as flagships for mercantile operations, but their bulk means that they should be operated with escort fighters while not in safe space. The UEE military uses modified Hull D as part of their supply chain, arming and refueling the soldiers on the front line.",capital,550.0,https://robertsspaceindustries.com/pledge/ships/hull/Hull-D,"[{'title': 'Standard Edition', 'price': 550, 'available': True, 'imported_at': '2024-01-10T00:00:58.000000Z'}]",Hull C,https://api.star-citizen.wiki/api/shipmatrix/vehicles/hull-d,2025-12-03 22:23:12+00:00,3.0,5,2.0,True,MISC,MISC
